motion,label
-0.093750 0.785156 0.746094 -47.855469 -112.656250 -63.382812 -56.449219 -55.453125 0.058594 -0.289062 4.257812 -32.582031 -63.179688 -85.152344 -60.398438 -41.265625 -0.531250 3.820312 -14.148438 -71.246094 -99.218750 -84.351562 -68.828125 -88.003906,l
-0.003906 1.187500 -2.511719 -38.671875 -56.789062 -59.117188 -63.828125 -109.003906 0.039062 0.777344 1.355469 -72.945312 -73.953125 -47.089844 -41.609375 -24.542969 -0.531250 3.503906 -13.000000 -70.164062 -78.093750 -72.414062 -111.042969 -108.273438,l
0.101562 0.914062 -0.171875 -41.910156 -57.531250 -95.015625 -90.503906 -42.453125 -0.042969 1.832031 -5.277344 -58.335938 -41.460938 -36.785156 -21.507812 -50.417969 -0.566406 3.550781 -14.125000 -57.945312 -99.554688 -114.109375 -90.460938 -91.492188,l
0.035156 0.570312 3.082031 -55.726562 -111.335938 -49.785156 -72.816406 -125.570312 -0.054688 0.882812 -2.144531 -43.218750 -20.554688 -42.796875 -48.894531 -51.746094 -0.394531 2.867188 -8.031250 -85.687500 -108.031250 -81.593750 -104.515625 -68.023438,l
0.039062 1.363281 -3.195312 -36.460938 -54.531250 -111.925781 -126.457031 -86.984375 0.058594 -0.449219 5.222656 -32.371094 -51.406250 -49.046875 -61.167969 -70.750000 -0.238281 1.980469 -4.894531 -57.742188 -103.398438 -86.066406 -58.203125 -91.070312,l
-0.117188 1.812500 -2.132812 -74.539062 -130.007812 -109.531250 -40.171875 -50.132812 0.054688 -0.109375 3.632812 -37.835938 -56.601562 -69.531250 -77.562500 -72.664062 -0.484375 4.070312 -14.421875 -86.554688 -64.882812 -76.007812 -92.312500 -82.757812,l
-0.046875 2.335938 -4.691406 -84.683594 -78.296875 -21.968750 -106.957031 -91.199219 -0.027344 0.808594 0.128906 -57.152344 -73.734375 -80.019531 -70.566406 -68.691406 -0.429688 2.808594 -9.226562 -57.453125 -96.101562 -81.058594 -84.988281 -61.417969,l
0.199219 -0.628906 4.078125 10.992188 -76.875000 -106.417969 -101.613281 -122.695312 0.000000 0.972656 0.562500 -73.789062 -71.695312 -78.746094 -53.929688 -92.863281 -0.382812 3.156250 -10.351562 -66.105469 -89.710938 -68.386719 -73.996094 -124.980469,l
0.039062 2.812500 -6.289062 -87.843750 -92.328125 -124.273438 -117.085938 -141.343750 0.015625 0.765625 2.023438 -71.718750 -62.867188 -77.343750 -85.546875 -48.585938 -0.546875 3.429688 -14.242188 -63.562500 -65.531250 -105.390625 -136.570312 -136.296875,l
-0.242188 2.171875 -3.156250 -94.937500 -122.625000 -130.695312 -144.359375 -127.320312 -0.070312 -0.718750 7.468750 -47.593750 -97.664062 -59.265625 -69.210938 -121.437500 -0.398438 3.343750 -9.070312 -85.140625 -133.078125 -135.234375 -136.226562 -122.398438,l
-0.007812 1.976562 -1.453125 -95.601562 -149.445312 -132.328125 -127.023438 -88.835938 0.007812 0.148438 2.789062 -46.421875 -54.906250 -114.492188 -84.382812 -10.570312 -0.625000 4.023438 -12.843750 -104.281250 -142.929688 -128.304688 -109.484375 -93.078125,l
-0.046875 2.000000 -2.539062 -90.476562 -133.898438 -111.804688 -54.273438 -39.875000 0.101562 0.015625 7.578125 -85.078125 -115.515625 -38.406250 22.976562 -22.765625 -0.320312 3.382812 -7.757812 -102.867188 -124.882812 -99.148438 -68.984375 -64.500000,l
